                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
jan11 o       h       oh      photon                 9.90E-19  -.38      .00   3 !    10   300 -  udfa06
jan11 oh      h       h2o     photon                 4.00E-18 -2.00      .00   3 !     0     0 -  --osu2005
jan11 n       n       n2      photon                 5.00E-16   .00      .00   3 !   298   298 -  NIST 1977TAK
jan11 n       h2      nh2     photon                 1.94E-20   .00      .00   3 !   298   298 -  NIST 1994ALE
jan11 o       so      so2     photon                 3.20E-16 -1.50      .00   3 !    10   300 -  udfa06
jan11 s       co      ocs     photon                 1.60E-17 -1.50      .00   3 !    10   300 -  udfa06
jan11 h+      h       h2+     photon                 5.13E-19  1.85      .00   3 !   200  4000 -  udfa06
jan11 h       c+      ch+     photon                 2.29E-17  -.42      .00   3 !     5  1000 -  2006BAR (the re-fit to their expression is OK)
jan11 h2      c+      ch2+    photon                 8.00E-17 -1.30    23.00   3 !    10   300 -  KIDA critical evaluation based on 1994GER (value for normal-H2 adopted)
jan11 h2      ch3+    ch5+    photon                 4.00E-16 -2.30    30.00   3 !    10   298 -  KIDA critical evaluation (value for normal H2 adopted)
jan11 h2      c2h2+   c2h4+   photon                 2.34E-14 -1.50      .00   3 !    10   300 -  udfa06
jan11 c+      c       c2+     photon                 4.01E-18   .17   102.00   3 !    10 41000 -  udfa06
jan11 c+      c3      c4+     photon                 1.00E-13 -1.00      .00   3 !    10   300 -  udfa06
jan11 c2h2+   h       c2h3+   photon                 7.00E-15 -1.50      .00   3 !     0     0 -  osu2005
jan11 c4h+    h       c4h2+   photon                 6.00E-14 -1.50      .00   3 !     0     0 -  osu2005
jan11 s+      h       sh+     photon                 8.08E-21  -.17      .00   3 !     0     0 -  2000STA
jan11 h2      s+      h2s+    photon                 1.00E-17  -.20      .00   3 !    10   300 -  udfa06
jan11 h2      sh+     h3s+    photon                 2.40E-16  -.80      .00   3 !    10   300 -  udfa06
jan11 c3h2+   h       c3h3+   photon                 4.00E-15 -1.50      .00   3 !     0     0 -  --osu2005
jan11 ch3+    h2o     ch5o+   photon                 2.00E-12   .00      .00   3 !    10   300 -  udfa06
jan11 ch3+    co      c2h3o+  photon                 1.20E-13 -1.30      .00   3 !    10   300 -  udfa06 Ref HE85
jan11 c4h2+   h       c4h3+   photon                 7.00E-11  -.10      .00   3 !     0     0 -  --osu2005
jan11 c3+     h       c3h+    photon                 7.00E-16 -1.50      .00   3 !     0     0 -  osu2005
jan11 c3h+    h       c3h2+   photon                 1.00E-14 -1.50      .00   3 !     0     0 -  osu2005
jan11 h2      c3h+    c-c3h3+ photon                 1.69E-12 -1.00      .00   3 !    10   100 -  1993MAL calculated, and branching 1/2 as suggested in article
jan11 h2      c3h+    c3h3+   photon                 1.69E-12 -1.00      .00   3 !    10   100 -  1993MAL calculated, and branching 1/2 as suggested in article
jan11 c-c3h2+ h       c-c3h3+ photon                 4.00E-15 -1.50      .00   3 !     0     0 -  --osu2005
sep13 he+     h       heh+    photon                 1.70E-15 -0.37      .00   3 !     0     0 -  1995KRA
sep13 he      h+      heh+    photon                 5.26E-20 -0.50      .00   3 !    16   100 -  udfa06 from 1998ZYG
  -                   -
  -                   - three-body reactions and reverse (thermal dissociations)
  -                   -
jan11 a-c3h4  he      p-c3h4  he                     2.52E-08   .00 24353.00   4 !  1000  1400 -  KONN (1994KIE RRK extrap) k(HE/C3H6,C3H8)=0.044 assumed
jan11 p-c3h4  he      a-c3h4  he                     1.17E-08   .10 24957.00   4 !  1000  1400 -  >INV KONN (1994KIE RRK extrap) k(HE/C3H6,C3H8)=0.044 assumed
jan11 a-c3h4  h2      p-c3h4  h2                     9.03E-08   .00 24353.00   4 !  1000  1400 -  KONN (1994KIE RRK extrap) k(H2/C3H6,C3H8)=0.16 assumed
jan11 p-c3h4  h2      a-c3h4  h2                     4.18E-08   .10 24957.00   4 !  1000  1400 -  >INV KONN (1994KIE RRK extrap) k(H2/C3H6,C3H8)=0.16 assumed
jan11 hcn     h       hnc     h                      2.16E-13  4.61  7123.00   4 !   100  1000 -  detailed balance
  -                   -
  -                   - neutral-neutral reactions
  -                   -
jan11 h       n2      nh      n                      8.63E-11   .50 71457.00   4 !  1700  3000 -  NIST
aou19 h       nh      n       h2                     8.19E-11   .68   950.00   4 !     0     0 -  1995TOU ; (k(1790K)=9.6E13); from reverse (k(1790K)=5.8E12)
